"year","month","date","shipname","category","commodity","species","landings","catches","value","price"
2000,6,2000-06-01,"ENSENADA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",260000,260000,2600000,10
2000,6,2000-06-01,"GUAYMAS","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",225036,225036,2250360,10
2000,6,2000-06-01,"ILEANA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",20,20,200,10
2000,6,2000-06-01,"JUANPABLO1","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",9000,9000,81000,9
2000,6,2000-06-01,"JUANPABLO1","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",73030,73030,584240,8
2000,6,2000-06-01,"JUANPABLO1","Atun","Atun aleta azul ent. fco.","Thunnus orientalis",21787,21787,217870,10
2000,6,2000-06-01,"JUANPABLO1","Bonito","Bonito ent. fco.","Euthynnus alletteratus",10000,10000,30000,3
2000,6,2000-06-01,"LIZZY","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",1050,1050,21000,20
2000,6,2000-06-01,"MACEL","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",545647,545647,5456470,10
2000,6,2000-06-01,"MARANATHA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",70000,70000,7e+05,10
2000,6,2000-06-01,"MARANATHA","Atun","Atun aleta azul ent. fco.","Thunnus orientalis",10000,10000,1e+05,10
2000,6,2000-06-01,"MARANATHA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",5000,5000,50000,10
2000,6,2000-06-01,"MARFLOTA1","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",70,70,700,10
2000,6,2000-06-01,"MARFLOTA1","Atun","Atun aleta azul ent. fco.","Thunnus orientalis",2076,2076,20760,10
2000,6,2000-06-01,"MARIAELISA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",326,326,6520,20
2000,6,2000-06-01,"MARIAGABRIELA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",47000,47000,470000,10
2000,6,2000-06-01,"MARIAGABRIELA","Atun","Atun aleta azul ent. fco.","Thunnus orientalis",32000,32000,320000,10
2000,6,2000-06-01,"MARIAGABRIELA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",1000,1000,10000,10
2000,6,2000-06-01,"MARIAGLORIA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",350,350,8750,25
2000,6,2000-06-01,"MARIALUISA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",393,393,1965,5
2000,6,2000-06-01,"MARIAVALERIA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",336352,336352,2354464,7
2000,6,2000-06-01,"MARIAVALERIA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",493866,493866,2469330,5
2000,6,2000-06-01,"MARIAVERONICA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",671653,671653,6044877,9
2000,6,2000-06-01,"MARIAVERONICA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",250246,250246,1251230,5
2000,6,2000-06-01,"NAIR3","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",36228,36228,543420,15
2000,6,2000-06-01,"NAIR3","Atun","Atun aleta azul ent. fco.","Thunnus orientalis",12034,12034,120340,10
2000,6,2000-06-01,"NAIR3","Bonito","Bonito ent. fco.","Euthynnus alletteratus",103840,103840,519200,5
2000,6,2000-06-01,"NANA","Atun","Albacora ent. fca.","Thunnus alalunga",4,4,60,15
2000,6,2000-06-01,"NANA","Atun","Albacora ent. fca.","Thunnus alalunga",466,466,4660,10
2000,6,2000-06-01,"NANA","Atun","Albacora ent. fca.","Thunnus alalunga",491,491,5892,12
2000,6,2000-06-01,"NANA","Atun","Atun aleta amarilla desv. fco.","Thunnus albacares",180,198,1440,8
2000,6,2000-06-01,"NANA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",91,91,91,1
2000,6,2000-06-01,"NANA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",590,590,2360,4
2000,6,2000-06-01,"NANA","Atun","Atun desv. fco.","Thunnus spp",25,27.5,225,9
2000,6,2000-06-01,"NANA","Atun","Atun ent. fco.","Thunnus spp",10,10,200,20
2000,6,2000-06-01,"NANA","Atun","Atun ent. fco.","Thunnus spp",100,100,600,6
2000,6,2000-06-01,"NANA","Atun","Atun ent. fco.","Thunnus spp",300,300,2700,9
2000,6,2000-06-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",18,18,72,4
2000,6,2000-06-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",50,50,300,6
2000,6,2000-06-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",140,140,732,5
2000,6,2000-06-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",150,150,750,5
2000,6,2000-06-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",150,150,900,6
2000,6,2000-06-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",240,240,240,1
2000,6,2000-06-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",300,300,900,3
2000,6,2000-06-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",320,320,1000,3
2000,6,2000-06-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",400,400,2500,6
2000,6,2000-06-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",440,440,2200,5
2000,6,2000-06-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",800,800,2400,3
2000,6,2000-06-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",1720,1720,7130,4
2000,6,2000-06-01,"NANA","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",3750,3750,11250,3
2000,6,2000-06-01,"NANA","Barrilete","Barrilete negro ent. fco.","Katsuwonus pelamis",230,230,690,3
2000,6,2000-06-01,"NANA","Barrilete","Barrilete negro ent. fco.","Katsuwonus pelamis",6200,6200,9700,2
2000,6,2000-06-01,"NANA","Bonito","Bonito desv. y desc. fco.","Euthynnus alletteratus",983,1228.75,6881,7
2000,6,2000-06-01,"NANA","Bonito","Bonito ent. fco.","Euthynnus alletteratus",38,38,38,1
2000,6,2000-06-01,"NANA","Bonito","Bonito ent. fco.","Euthynnus alletteratus",80,80,1600,20
2000,6,2000-06-01,"NANA","Bonito","Bonito ent. fco.","Euthynnus alletteratus",1600,1600,12800,8
2000,6,2000-06-01,"NANA","Bonito","Bonito ent. fco.","Euthynnus alletteratus",4118,4118,8236,2
2000,6,2000-06-01,"PUNTAABREOJOS1","Atun","Atun aleta amarilla desv, desc fco","Thunnus albacares",140,168,840,6
2000,6,2000-06-01,"PUNTAABREOJOS4","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",120,120,720,6
2000,6,2000-06-01,"SANDOKAN","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",88450,88450,884500,10
2000,6,2000-06-01,"SANDOKAN","Bonito","Bonito ent. fco.","Euthynnus alletteratus",12180,12180,121800,10
2000,6,2000-06-01,"SANIGNACIO","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",36820,36820,368200,10
2000,6,2000-06-01,"THERESAJANENE","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",427853,427853,3422824,8
2000,6,2000-06-01,"VICTORIAEUGENIA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",230,230,2760,12
2000,6,2000-06-01,"VICTORIAEUGENIA","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",259,259,2590,10
2000,7,2000-07-01,"ATUN8","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",7890,7890,78900,10
2000,7,2000-07-01,"ATUN8","Atun","Atun aleta azul ent. fco.","Thunnus orientalis",108521,108521,1627815,15
2000,7,2000-07-01,"AZTECA1","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",140702,140702,703510,5
2000,7,2000-07-01,"AZTECA2","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",4192,4192,20960,5
2000,7,2000-07-01,"AZTECA3","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",511518,511518,2557590,5
2000,7,2000-07-01,"AZTECA3","Barrilete","Barrilete ent. fco.","Katsuwonus pelamis",239,239,1195,5
2000,7,2000-07-01,"AZTECA5","Atun","Atun aleta amarilla ent. fco.","Thunnus albacares",363118,363118,1815590,5
